x_1,x_2,y
1.625000000000000056e-02,6.143699999999999717e-01,0.0
5.002999999999999808e-02,4.948000000000000315e-02,1.0
4.392999999999999683e-02,5.127000000000000307e-02,1.0
4.605999999999999678e-02,5.849000000000000032e-02,1.0
4.982999999999999929e-02,3.998000000000000165e-02,1.0
1.589000000000000135e-02,5.481800000000000006e-01,0.0
4.551000000000000184e-02,5.423000000000000043e-02,1.0
1.626000000000000015e-02,5.626200000000000090e-01,0.0
4.845000000000000001e-02,6.686000000000000276e-02,1.0
5.405000000000000082e-02,7.850999999999999646e-02,1.0
4.043999999999999678e-02,4.932999999999999885e-02,1.0
4.943999999999999784e-02,5.743999999999999800e-02,1.0
1.593999999999999931e-02,4.578599999999999892e-01,0.0
4.598000000000000004e-02,3.907000000000000056e-02,1.0
1.546999999999999938e-02,3.732500000000000262e-01,0.0
1.631000000000000158e-02,6.247899999999999565e-01,0.0
1.476000000000000055e-02,4.524099999999999788e-01,0.0
1.336000000000000035e-02,4.804399999999999782e-01,0.0
4.674999999999999989e-02,4.929999999999999660e-02,1.0
4.436999999999999972e-02,5.827999999999999847e-02,1.0
4.488000000000000322e-02,6.264999999999999736e-02,1.0
1.572000000000000133e-02,5.787799999999999612e-01,0.0
1.494999999999999975e-02,5.734799999999999898e-01,0.0
1.595999999999999849e-02,6.945299999999999807e-01,0.0
1.554999999999999959e-02,5.564400000000000457e-01,0.0
5.176000000000000045e-02,4.712000000000000216e-02,1.0
4.324999999999999678e-02,5.285999999999999727e-02,1.0
1.674000000000000141e-02,4.034900000000000153e-01,0.0
1.471000000000000085e-02,5.877499999999999947e-01,0.0
1.494000000000000015e-02,4.649199999999999999e-01,0.0
1.536999999999999998e-02,6.143199999999999772e-01,0.0
4.433000000000000135e-02,5.360000000000000181e-02,1.0
4.753000000000000280e-02,7.366000000000000325e-02,1.0
4.726000000000000340e-02,4.445999999999999952e-02,1.0
1.372999999999999915e-02,5.382700000000000262e-01,0.0
4.751999999999999974e-02,5.573999999999999788e-02,1.0
1.575999999999999970e-02,5.027500000000000302e-01,0.0
1.627999999999999933e-02,4.765800000000000036e-01,0.0
5.004000000000000115e-02,5.643000000000000099e-02,1.0
1.452999999999999951e-02,5.290799999999999947e-01,0.0
1.328000000000000014e-02,4.736899999999999999e-01,0.0
5.380000000000000060e-02,7.932000000000000162e-02,1.0
1.451999999999999992e-02,5.712199999999999500e-01,0.0
1.600999999999999993e-02,5.967599999999999572e-01,0.0
