x_1,x_2,y
2.022952024429027981e-03,1.486672299669419307e-02,1.0
2.433956964963644286e-03,1.487988944063459856e-02,1.0
1.244736777650716584e-03,7.301523760770243544e-03,1.0
1.054033142255955072e-03,1.043948378849330616e-01,0.0
1.109966853177408921e-03,5.833249052302026845e-03,1.0
1.657604597764644446e-03,8.432568315784864932e-03,1.0
2.161986183156166304e-03,1.081182563278769611e-02,1.0
7.023749931798910521e-04,4.043702830433862014e-03,1.0
5.031327060300798794e-04,3.949047624213015278e-02,0.0
1.702617485698728218e-03,9.114001532554908205e-03,1.0
1.173356463186409548e-03,1.168809089730638573e-01,0.0
7.195484612002365056e-04,6.708660184057145537e-02,0.0
9.037809091750904347e-04,4.934288652488925085e-03,1.0
1.850643301897939063e-03,9.368779122945663021e-03,1.0
9.752276827346276818e-04,8.438406253950664349e-02,0.0
8.763027157223731052e-04,8.144614157797315512e-02,0.0
3.631080412258973125e-03,2.325028077282770972e-02,1.0
6.486753137742140010e-04,5.993338203963273492e-02,0.0
8.084546675655776950e-04,6.664441647378299693e-02,0.0
1.219489736132921796e-03,1.322033360235498056e-01,0.0
1.661546334707857423e-03,1.476374197966214552e-01,0.0
1.691130271548748655e-03,1.328953927545330482e-01,0.0
9.480420747967018870e-04,4.529297874198348964e-03,1.0
1.011889541727316625e-03,6.909636101275126729e-02,0.0
5.519081489454377536e-03,2.889287543021148638e-02,1.0
1.789595487802202005e-03,8.152986831082944738e-03,1.0
1.414839302677818340e-03,7.801230623528890122e-03,1.0
1.358108860991544134e-03,1.202148303679051733e-01,0.0
4.304769348416598697e-04,3.470199331950293842e-02,0.0
2.085112865568977680e-03,1.154722451968080883e-02,1.0
1.172418031928180527e-03,9.694173893166431466e-02,0.0
4.971870498379628127e-04,4.568897489272547713e-02,0.0
1.227149317549381833e-03,1.315397273775273101e-01,0.0
1.182894609269238883e-03,1.172372531330459905e-01,0.0
5.881795295411307604e-04,5.542458553860266784e-02,0.0
8.003838480840578390e-04,7.732115810300718706e-02,0.0
1.001189107869025329e-03,5.927347261108528373e-03,1.0
2.608300502264728100e-03,1.413816923867813533e-02,1.0
1.158545736824906618e-03,8.196224655036752488e-03,1.0
4.806551471155577171e-04,2.172146919432693842e-03,1.0
8.019521570916160642e-04,7.703773559146326333e-02,0.0
7.068933557974928098e-04,6.920543939268951339e-02,0.0
1.053281269056989674e-03,8.776639979445641226e-02,0.0
1.617283002401826092e-03,1.074994085373378108e-02,1.0
5.732861810138481160e-04,4.721472396443708586e-02,0.0
1.023932512624230575e-03,8.251034456965496144e-02,0.0
1.240625953831278692e-03,5.754921613035028638e-03,1.0
8.174195476559122662e-04,5.112112705561436786e-03,1.0
9.488515484813640722e-04,7.982037568225257285e-02,0.0
1.302216892360167884e-03,6.759487498260753624e-03,1.0
2.097059327536804178e-04,1.924011970483324382e-02,0.0
9.695806816290802703e-04,5.248943591924408632e-03,1.0
2.281233038367802991e-03,1.098525157973627431e-02,1.0
2.692746469819072303e-03,1.562494507114981987e-02,1.0
8.696982997606965372e-04,9.767080174264362868e-02,0.0
5.726530154639123847e-04,5.476367670816207484e-02,0.0
1.670917375272622935e-03,7.738462275431871526e-03,1.0
2.675321752379484705e-03,1.595766310366333526e-02,1.0
6.834859037522804295e-04,4.344153436157302886e-03,1.0
2.919410713933437863e-03,1.508045768238837694e-02,1.0
8.357660516507160872e-04,4.198572922838813420e-03,1.0
2.430754729751903034e-04,2.727024641613068692e-02,0.0
1.858391341812829379e-03,1.753456169890015293e-01,0.0
3.866257480197223678e-04,3.676875615598408642e-02,0.0
8.252608791725263076e-04,8.128860738671923880e-02,0.0
7.027000802191804779e-04,6.543207286849266058e-02,0.0
9.725610145323961616e-04,8.508420328212024097e-02,0.0
1.696424471939782372e-03,8.709724401336481694e-03,1.0
6.578214986477675568e-04,6.416112395150207204e-02,0.0
8.543990108184499124e-04,4.607675392405792200e-03,1.0
2.469806585278824275e-03,1.231715489734767563e-02,1.0
1.118023605636547747e-03,5.412192226151644851e-03,1.0
7.283413210995001502e-04,7.050767190774070992e-02,0.0
8.378966176651471941e-04,7.056986974389788114e-02,0.0
7.293083271155374747e-04,7.205539696531665372e-02,0.0
1.419717179419850749e-03,9.382597323035495387e-03,1.0
7.710686014091466291e-04,7.194100275935272348e-02,0.0
1.306407192671946420e-03,1.410052137515026283e-01,0.0
7.063274483657365488e-04,3.250812188342456707e-03,1.0
8.772778585168851699e-04,4.643921771233791747e-03,1.0
1.126888060405217004e-03,1.028420586399357017e-01,0.0
9.830953391753408273e-04,8.442408814308567655e-02,0.0
1.462852631269638722e-03,1.307556394516316278e-01,0.0
1.285799181175574990e-03,8.763405641194172563e-03,1.0
8.686349037319816835e-04,7.455953637123123590e-02,0.0
9.042177616568234603e-04,4.494984143463349319e-03,1.0
7.773951401953584214e-04,3.075005255856517843e-03,1.0
1.388559628003204708e-03,9.680711382827108386e-03,1.0
7.448611533879004537e-04,3.897864307191290650e-03,1.0
1.101375981159052365e-03,6.157407859479323807e-03,1.0
6.233099499138496785e-04,5.018783715490426900e-02,0.0
6.631736897653446421e-04,5.580333776976399707e-02,0.0
7.688303092957327663e-04,7.236684165164934679e-02,0.0
1.856829227724252377e-03,1.011984766082623700e-02,1.0
1.160505799419452554e-03,5.921637307243860122e-03,1.0
7.824413684110731720e-04,6.004017650466808576e-02,0.0
9.932333070683172210e-04,8.247590555643947996e-02,0.0
7.362322245328463844e-04,5.626499559417581786e-02,0.0
2.174998097776901194e-03,1.160134958780132015e-02,1.0
9.736539769817198053e-04,6.636995914602492400e-03,1.0
7.781007949341705665e-04,7.034526706550962849e-02,0.0
6.578988518595636509e-04,7.167891591874939183e-02,0.0
7.746640232492302269e-04,7.154118972188740211e-02,0.0
1.394372645041707173e-03,7.330370604641743906e-03,1.0
9.589331696408469720e-04,7.844314287909422145e-02,0.0
6.630658966295410219e-04,4.737015309574981597e-02,0.0
5.543939045406286268e-04,4.608605840825506089e-02,0.0
5.425254084276910551e-04,4.260369699880606209e-02,0.0
1.873370462653445572e-03,8.849595561786986753e-03,1.0
8.420586183790427625e-04,7.622297877548199485e-02,0.0
1.650851244721245493e-03,8.997912194753232909e-03,1.0
1.081231580461657028e-03,8.664604767231746940e-02,0.0
3.508335233050643032e-03,1.972933971080768553e-02,1.0
2.004083437701322055e-03,1.202323945799942638e-02,1.0
2.148478797912426342e-03,1.087443044254197792e-02,1.0
9.005073951303999057e-04,4.519196374971679205e-03,1.0
6.362785014473647466e-04,2.723349814165455882e-03,1.0
7.978224053710515108e-04,5.643084389903652021e-02,0.0
3.967236215397840259e-04,3.309508386722050804e-02,0.0
9.445471404866625674e-04,4.965271411288258059e-03,1.0
4.205367438117381135e-04,2.378641222664140947e-03,1.0
3.431608336982598564e-04,1.664160526398394090e-03,1.0
1.153370597129021275e-03,5.813983691693008424e-03,1.0
1.290855489107825462e-03,1.366033093128492804e-01,0.0
1.020287518100397150e-03,9.580004719001064539e-02,0.0
7.321000304277133688e-04,5.984432377644623158e-02,0.0
1.747397611859682204e-03,9.094630180227394889e-03,1.0
8.982069542077050642e-04,7.065478391044287265e-03,1.0
1.234682942503773345e-03,9.139902451355290391e-02,0.0
1.458524139870517617e-03,5.674735080732034968e-03,1.0
6.193623077181405027e-04,5.468013271087100724e-02,0.0
9.068441453729538752e-04,3.928292597255476741e-03,1.0
7.486306600059845643e-04,5.916431209408924696e-02,0.0
1.344814624945768044e-03,6.147621567839451490e-03,1.0
1.318581213062797750e-03,1.150508319678582719e-01,0.0
1.634086295239834839e-03,9.896289177844366791e-03,1.0
8.358187927010510667e-04,4.679424929212897336e-03,1.0
6.260145966318974653e-04,6.581380318664209472e-02,0.0
5.678657310482494681e-04,5.367203805266417688e-02,0.0
5.169317399070108652e-04,4.164736709774466417e-02,0.0
9.641595125288381866e-04,5.325658457646532257e-03,1.0
1.398751698038205524e-03,7.891590262044232210e-03,1.0
2.063219319102483837e-03,2.184289667379574751e-01,0.0
8.199299593188213780e-04,6.633419237908058652e-02,0.0
6.770509981842838228e-04,3.583334399824389394e-03,1.0
4.066590685770087336e-04,3.736329276942407240e-02,0.0
2.002465665371550539e-03,1.796868757891058321e-01,0.0
1.138907194860019163e-03,7.580506730088846894e-03,1.0
1.694059921253526736e-03,8.907816980934540885e-03,1.0
8.284693411155864872e-04,8.558056637438221648e-02,0.0
1.002508342529367111e-03,9.635532071565117151e-02,0.0
5.952054480240258827e-04,6.209045752869483265e-02,0.0
7.117011494388819724e-04,5.486180376401306874e-02,0.0
7.087607164412469424e-04,5.716299484446726864e-02,0.0
5.967123644054299868e-04,5.129181947199040054e-02,0.0
9.895353930352828592e-04,8.407959134736474327e-02,0.0
8.802616552330612973e-04,8.151566404569006441e-02,0.0
1.074497546015187920e-03,1.073116798469845035e-01,0.0
5.607663480265813807e-04,5.752534558531344905e-02,0.0
1.270329658127551534e-03,6.611764896548524666e-03,1.0
1.289760724167669879e-03,5.540474715443413807e-03,1.0
1.748304676720801362e-03,1.634712696153821643e-01,0.0
6.550190938302858376e-04,6.836846884564430626e-02,0.0
1.307637186496988374e-03,9.545564598538447409e-02,0.0
1.078024917724191038e-03,1.146954161172407810e-01,0.0
1.622153200730095833e-03,9.404573147341450945e-03,1.0
9.144124748816846206e-04,4.060157149806805851e-03,1.0
6.784581463431830703e-04,3.518960427368109448e-03,1.0
1.305816042784651264e-03,1.107902061035631464e-01,0.0
4.062539970265993845e-04,3.269317771129361810e-02,0.0
8.850306214721756709e-04,6.521159037589853436e-02,0.0
2.742666303443212338e-03,1.757870473131534911e-02,1.0
1.284097034294940688e-03,7.799894608224701431e-03,1.0
1.107729547075203286e-03,6.096177388109699259e-03,1.0
5.972167202874234786e-04,3.164519210910496285e-03,1.0
6.311894463954961874e-04,5.461885341910808350e-02,0.0
6.831201661839841682e-04,5.792271456138444602e-02,0.0
